delivery_id,order_id,partner_id,delivery_time,delivery_date
1,4489,273,00:50:31,2024-03-09
2,9470,186,16:59:24,2023-12-23
3,3197,83,02:08:44,2023-08-27
4,5611,154,19:52:44,2024-01-27
5,7644,263,06:43:37,2023-12-23
6,3368,290,05:03:52,2023-05-12
7,9869,260,01:12:49,2024-06-01
8,2847,356,11:55:28,2024-06-04
9,9384,122,02:46:50,2024-05-13
10,7753,328,19:44:31,2024-03-09
11,6520,7,12:48:59,2024-02-22
12,2867,31,15:33:01,2024-08-25
13,307,199,13:04:18,2023-07-25
14,1247,137,01:58:00,2023-05-10
15,2009,198,00:12:43,2023-10-31
16,4367,314,16:07:36,2024-12-26
17,3230,424,18:57:49,2024-04-30
18,1308,287,16:34:22,2023-05-09
19,7770,212,13:14:16,2024-11-23
20,5769,109,21:34:19,2024-08-03
21,3855,293,12:41:09,2024-06-18
22,3029,121,10:55:09,2023-12-23
23,1424,224,03:15:19,2024-10-07
24,9971,399,22:34:37,2023-03-07
25,6590,80,04:22:48,2024-02-10
26,4631,203,22:22:04,2023-02-10
27,1368,402,06:49:21,2024-11-18
28,134,66,21:57:39,2024-08-10
29,3320,280,11:57:11,2024-01-16
30,9138,343,03:18:28,2023-01-26
31,2420,310,16:22:34,2023-03-02
32,1595,306,09:12:22,2024-02-09
33,486,45,15:41:02,2023-02-06
34,2402,376,12:11:38,2024-09-24
35,5294,284,14:20:36,2024-06-09
36,1374,101,13:27:39,2023-04-24
37,1135,111,06:47:11,2023-02-05
38,477,172,15:34:47,2023-07-01
39,1325,19,20:11:48,2023-11-17
40,1759,47,13:13:22,2024-12-11
41,1473,275,23:58:09,2024-09-05
42,7095,113,21:15:05,2024-05-14
43,1995,99,11:39:27,2024-10-09
44,7765,388,16:44:27,2024-06-16
45,8861,259,18:55:36,2023-10-22
46,2359,183,17:35:16,2024-01-12
47,8905,134,11:49:30,2024-05-06
48,1184,157,16:42:45,2024-12-16
49,6593,218,16:48:26,2023-01-08
50,6178,355,15:55:01,2023-07-09
51,4202,56,09:21:42,2024-12-21
52,2974,4,11:55:55,2024-11-25
53,6492,456,08:56:32,2023-10-04
54,75,404,04:30:53,2024-11-06
55,2021,89,16:02:08,2024-02-03
56,9946,245,23:32:31,2024-05-02
57,9470,482,20:20:47,2023-08-29
58,1080,144,00:49:27,2024-04-21
59,1176,74,01:34:23,2024-07-26
60,1539,322,07:04:33,2024-12-19
61,447,113,15:27:46,2024-08-11
62,1357,6,02:22:03,2023-02-06
63,2461,181,02:09:32,2023-08-30
64,8042,319,12:35:46,2024-10-21
65,6047,297,03:14:01,2023-08-02
66,3986,231,22:26:31,2024-06-05
67,3338,351,00:30:52,2024-10-09
68,2733,55,20:22:10,2023-12-05
69,9938,373,15:52:38,2023-12-02
70,3938,93,16:43:49,2024-12-27
71,9563,418,13:07:33,2023-11-05
72,3104,430,07:41:45,2024-03-22
73,6631,98,06:55:37,2023-11-18
74,3202,70,10:39:33,2023-08-24
75,4683,43,22:29:23,2023-12-24
76,5281,456,06:18:19,2023-03-07
77,2534,160,23:59:46,2023-02-22
78,4726,81,23:55:16,2023-12-25
79,4282,325,12:05:12,2023-04-23
80,2203,305,02:39:26,2024-10-06
81,3733,159,15:39:32,2023-01-11
82,8213,301,18:53:27,2024-02-07
