item_id,restaurant_id,item_name,category,price
1,378,technology,Beverages,305.46
2,239,hard,Starters,382.52
3,91,must,Beverages,486.17
4,261,goal,Starters,421.98
5,388,customer,Main Course,141.68
6,472,position,Main Course,315.82
7,147,knowledge,Beverages,486.31
8,167,pay,Desserts,254.54
9,469,senior,Beverages,260.41
10,272,customer,Starters,168.9
11,172,green,Main Course,281.96
12,414,college,Starters,363.31
13,305,whom,Starters,400.17
14,163,land,Main Course,205.64
15,215,hospital,Main Course,89.73
16,194,together,Beverages,105.59
17,307,attention,Desserts,499.73
18,269,relationship,Beverages,333.53
19,443,tend,Main Course,133.78
20,402,grow,Beverages,164.83
21,431,thought,Starters,167.94
22,363,daughter,Beverages,174.19
23,454,especially,Main Course,386.89
24,209,half,Beverages,393.99
25,226,since,Main Course,487.33
26,218,wrong,Main Course,244.91
27,20,safe,Beverages,286.59
28,295,white,Main Course,231.23
29,471,material,Starters,408.11
30,128,girl,Beverages,214.05
31,14,present,Main Course,373.1
32,24,school,Beverages,213.66
33,195,age,Desserts,329.35
34,411,those,Beverages,494.55
35,391,debate,Desserts,291.16
36,462,prevent,Starters,117.89
37,130,serious,Main Course,132.3
38,138,huge,Desserts,263.52
39,448,everything,Main Course,339.51
40,41,among,Beverages,419.1
41,356,method,Beverages,181.68
42,213,account,Main Course,128.53
43,10,think,Beverages,395.13
44,349,me,Starters,463.2
45,354,describe,Main Course,55.76
46,174,behavior,Starters,105.55
47,230,you,Starters,391.68
48,25,it,Starters,235.55
49,107,meet,Beverages,64.25
50,120,American,Starters,207.51
51,178,house,Beverages,209.77
52,434,huge,Desserts,134.33
53,307,media,Starters,323.08
54,178,speak,Main Course,115.54
55,311,most,Beverages,294.9
56,474,watch,Starters,274.55
57,448,oil,Starters,499.11
58,370,picture,Desserts,324.44
59,390,operation,Beverages,67.48
60,412,positive,Beverages,221.75
61,31,professional,Beverages,485.73
62,452,push,Starters,385.26
63,480,material,Starters,115.91
64,348,kid,Main Course,347.6
65,38,former,Main Course,355.8
66,480,each,Desserts,248.15
67,376,off,Desserts,179.31
68,180,focus,Desserts,280.96
69,51,first,Starters,379.16
70,347,human,Desserts,400.3
71,422,fast,Desserts,404.97
72,187,anything,Main Course,223.87
73,62,main,Beverages,410.12
74,280,the,Main Course,457.49
75,22,yeah,Desserts,191.11
76,25,travel,Starters,172.73
77,249,enjoy,Beverages,337.12
78,140,yeah,Main Course,103.5
79,302,bag,Beverages,384.86
80,177,range,Desserts,61.52
81,260,event,Starters,174.66
82,97,save,Beverages,366.12
83,488,order,Beverages,306.99
84,219,become,Starters,377.38
85,275,condition,Beverages,356.44
86,276,prove,Starters,304.23
87,212,stay,Beverages,175.2
88,409,government,Main Course,259.15
89,152,word,Main Course,315.74
90,181,every,Main Course,348.86
91,102,health,Beverages,307.06
92,363,throughout,Desserts,136.79
93,402,recently,Desserts,170.73
94,244,season,Beverages,279.32
95,221,vote,Desserts,472.95
96,282,scientist,Desserts,401.82
97,226,focus,Beverages,237.43
98,241,foot,Main Course,51.5
99,466,wish,Beverages,242.67
100,325,rate,Desserts,131.88
101,9,beat,Beverages,462.35
102,337,task,Starters,454.8
103,362,me,Desserts,260.42
104,30,understand,Desserts,463.38
105,333,significant,Starters,127.32
106,262,could,Beverages,300.21
107,103,offer,Main Course,110.47
108,461,hand,Main Course,407.67
109,35,across,Beverages,431.78
110,224,off,Starters,307.52
111,163,rise,Starters,482.61
112,422,program,Desserts,295.4
113,374,let,Desserts,65.54
114,380,pass,Main Course,155.76
115,3,environmental,Beverages,439.21
116,479,people,Main Course,342.24
117,3,deep,Desserts,444.41
118,461,federal,Desserts,219.63
119,265,benefit,Main Course,218.8
120,308,end,Main Course,77.8
121,163,born,Desserts,209.5
122,115,pretty,Main Course,127.0
123,171,nearly,Starters,498.36
124,135,suddenly,Beverages,422.68
125,346,year,Starters,298.2
126,301,thank,Starters,442.34
127,432,mean,Main Course,461.25
128,411,third,Main Course,65.24
129,184,skin,Main Course,249.12
130,476,where,Starters,384.21
131,132,agreement,Main Course,160.58
132,331,store,Main Course,280.09
133,140,despite,Starters,59.73
134,185,live,Desserts,264.53
135,4,clearly,Starters,81.95
136,421,family,Desserts,220.08
137,420,hold,Beverages,238.6
138,491,newspaper,Main Course,187.81
139,163,glass,Starters,220.08
140,56,character,Desserts,212.55
141,265,industry,Beverages,405.78
142,184,important,Starters,232.65
143,86,break,Beverages,123.68
144,235,pass,Starters,481.91
145,105,blue,Desserts,398.28
146,47,set,Starters,266.08
147,267,ok,Beverages,179.7
148,453,audience,Beverages,397.21
149,479,too,Beverages,318.53
150,318,time,Starters,270.91
