order_detail_id,order_id,item_id,quantity,price
1,4858,115,2,119.48
2,4526,1271,3,247.74
3,3625,237,5,128.16
4,5860,645,1,393.55
5,2062,827,3,465.31
6,9866,518,5,349.25
7,6896,1049,1,303.64
8,3472,132,1,102.45
9,4487,384,4,210.91
10,9488,1370,1,313.1
11,398,1203,1,489.95
12,48,1293,4,391.83
13,6539,1380,5,108.88
14,8276,1960,1,254.39
15,8571,1460,1,412.96
16,5704,180,3,367.58
17,6633,787,3,198.68
18,582,1452,2,381.64
19,2324,757,5,357.54
20,9889,1660,5,78.76
21,3672,1103,3,378.4
22,9740,360,5,120.72
23,465,1418,3,448.15
24,4653,491,3,396.77
25,2135,1968,3,416.0
26,2528,1691,2,403.08
27,1636,1059,2,135.91
28,7465,1815,5,465.37
29,4872,507,1,182.44
30,6681,1215,1,200.16
31,7053,1248,2,432.9
32,322,1542,5,427.74
33,812,368,5,339.91
34,2826,1147,5,76.09
35,1576,1597,5,158.34
36,1332,1785,2,283.59
37,6240,1356,1,128.01
38,819,993,4,497.22
39,483,1507,3,371.62
40,9568,261,2,462.71
41,5266,1720,2,458.07
42,2374,974,3,118.09
43,4759,1180,4,295.23
44,9499,71,4,80.27
45,3174,1117,5,155.18
46,6407,1941,5,305.85
47,1040,182,4,450.75
48,9774,1604,5,402.38
49,5803,158,5,195.78
50,150,1418,4,85.08
51,3249,1232,3,187.1
52,9741,519,2,254.66
53,5982,612,1,98.47
54,4571,359,5,78.41
55,7079,459,5,340.81
56,6495,237,5,452.23
57,4710,595,4,82.83
58,2742,1548,5,210.59
59,8575,1783,5,337.96
60,5122,176,1,249.03
61,5134,1198,4,205.02
62,4366,670,1,227.49
63,556,1999,3,70.76
64,7947,1623,3,302.05
65,9929,300,3,153.48
66,3047,1189,5,94.67
67,7056,776,3,494.14
68,9696,1344,2,139.19
69,1055,1690,5,90.96
70,277,908,5,193.66
71,7955,914,2,192.48
72,1089,1976,4,326.2
73,3444,781,5,257.96
74,3946,1014,5,162.39
75,7021,271,1,79.41
76,34,1533,1,155.67
77,3298,1719,5,214.41
78,7527,1506,2,417.4
79,1565,1716,2,315.59
80,9530,177,3,410.24
81,1026,29,2,107.15
82,650,1009,1,234.91
83,507,396,1,110.56
84,2600,1098,3,344.25
85,7349,908,2,108.54
86,5262,611,1,153.24
87,863,191,1,240.8
88,9107,433,1,247.88
89,7102,446,4,56.17
90,6286,1083,2,341.44
91,7668,871,1,57.62
92,7415,699,1,402.46
93,9031,803,5,336.72
94,7766,434,3,249.31
95,4247,338,5,401.27
96,572,598,4,104.57
97,7717,1026,4,491.85
98,7764,71,5,200.77
99,4588,353,1,232.75
100,1890,419,3,212.31
101,1856,590,2,292.43
102,623,1189,1,368.11
103,8954,1576,4,83.24
104,7112,12,2,414.19
105,1445,29,3,398.88
106,5814,110,1,420.64
107,8947,1497,5,166.17
108,9185,1004,2,350.69
109,314,175,3,491.26
110,2057,1566,2,497.45
111,4685,1911,1,285.86
112,8488,982,2,140.96
113,1812,1059,4,378.56
114,8962,786,2,198.63
115,8773,1700,4,165.95
116,6187,85,4,361.25
117,7476,1675,4,74.1
118,1908,795,2,420.42
119,5779,717,1,425.46
120,8143,1387,2,86.47
121,3925,1848,5,188.6
122,577,1490,5,182.69
123,1697,944,1,51.93
124,5753,201,3,492.21
125,7965,405,1,200.08
126,4938,474,5,241.71
127,634,381,3,154.2
128,6860,1717,2,143.98
129,2431,1973,5,167.38
130,8559,580,1,136.53
131,2823,817,4,348.44
132,9823,330,5,287.99
133,5621,1111,4,119.45
134,6674,258,2,262.93
135,6095,1906,4,403.42
136,1069,779,5,248.28
137,3782,201,4,118.33
138,5232,1992,5,424.49
139,2562,1596,2,363.86
140,7726,496,5,436.46
141,9155,1426,4,218.25
142,4397,1470,3,478.88
143,3772,983,4,454.65
144,2979,1116,5,142.67
145,2274,1983,1,341.09
146,353,733,1,472.61
147,7752,828,5,84.86
148,4181,488,4,322.86
149,7704,1008,4,138.28
150,7699,331,1,263.39
151,9050,1326,3,499.06
152,1588,1225,4,438.99
153,4119,1014,3,247.84
154,2842,1712,3,70.27
155,824,1109,3,52.16
156,7797,1693,3,324.97
157,2246,1270,3,353.19
158,9793,1364,1,57.71
159,7730,170,5,448.38
160,2940,1142,2,125.84
161,187,182,2,69.14
162,2977,941,4,294.49
163,5573,1062,2,139.05
164,4418,1999,3,331.51
165,184,1402,4,243.93
166,8367,1566,5,82.06
167,2603,1054,4,481.23
168,9638,1381,1,66.39
169,5501,528,5,395.09
170,5871,385,1,180.27
171,8169,174,3,456.82
172,5204,1646,2,270.3
173,8070,1106,3,353.72
174,5403,712,1,169.02
175,7867,970,5,164.54
176,7270,601,5,89.57
177,8450,1254,4,409.53
178,2025,622,2,127.46
179,1910,681,5,196.24
180,7742,906,1,126.75
181,6232,1847,5,445.16
182,4293,1981,5,407.12
183,686,638,4,418.28
184,5242,1019,1,415.05
185,5157,1665,1,275.23
186,143,1717,3,350.77
187,3328,751,5,272.61
188,3028,161,2,299.86
189,1730,1471,1,482.04
190,6932,172,2,208.96
191,4274,1643,2,442.13
192,9004,962,4,342.82
193,948,793,1,71.38
194,1265,1236,1,290.79
195,9357,599,3,189.14
196,9338,684,2,99.85
197,1031,1781,3,69.13
198,9047,615,4,241.1
199,628,1911,5,303.52
200,1640,783,5,481.46
201,3976,1426,2,352.32
202,5815,1282,3,495.37
203,6609,95,3,405.79
204,8220,683,5,143.28
205,611,287,2,354.14
206,8219,1428,3,397.51
207,8267,213,3,82.38
208,1023,305,1,320.79
209,2766,966,5,436.58
210,4607,1919,4,353.23
211,2263,1393,4,371.26
212,458,1280,1,163.14
213,64,1338,1,56.67
214,3090,866,3,487.49
215,8378,1449,4,259.22
216,3158,526,4,366.62
217,8658,348,3,91.61
218,3705,1000,3,417.19
219,534,1516,5,208.85
220,7806,239,3,61.92
221,5184,1992,4,488.29
222,7435,1897,2,144.06
223,620,1156,4,281.66
224,7885,989,3,482.19
225,754,1358,3,379.29
226,237,906,2,257.19
227,8961,1459,3,302.74
228,4404,546,5,234.89
229,2194,1283,1,244.79
230,6760,525,5,288.21
231,7346,1813,2,409.76
232,1604,1023,2,493.45
233,7100,1276,3,302.7
234,8838,958,4,77.29
235,2260,568,2,120.32
236,1821,127,3,376.52
237,8657,927,2,360.16
238,5557,1494,4,335.81
239,2975,472,3,308.16
240,1305,770,2,293.35
241,5306,1344,2,369.43
242,6388,1804,4,263.25
243,2498,445,3,154.9
244,8280,147,5,342.77
245,12,166,5,459.78
246,513,1425,1,382.98
247,7346,1723,2,201.17
248,6866,458,1,202.54
249,7022,110,1,335.75
250,4982,590,1,482.96
251,976,1256,3,281.57
252,1205,1376,2,263.3
253,7476,1497,3,385.55
254,9058,1890,5,475.21
255,1039,28,5,397.5
256,9986,256,5,95.32
257,6715,1586,4,430.11
258,6798,1985,5,456.55
259,5938,419,1,249.13
260,7043,708,1,116.52
261,2607,836,4,362.2
262,5180,185,3,455.28
263,4690,1383,3,320.2
264,7819,279,3,198.22
265,1787,1039,4,474.37
266,3410,555,5,79.18
267,9888,456,3,402.17
268,2633,304,5,292.76
269,8074,1104,3,210.23
270,1947,180,2,406.24
271,4633,162,3,491.84
272,1226,1605,3,92.05
273,3489,1592,1,408.38
274,6505,1235,2,368.79
275,7269,751,1,267.38
276,7312,384,2,124.24
277,7174,158,3,59.22
278,5210,580,3,178.37
279,4149,1869,4,123.32
280,4251,1889,1,422.02
281,7659,1687,5,406.36
282,3619,654,1,466.6
283,4170,348,5,386.14
284,7157,674,5,198.51
285,2378,263,5,444.44
286,4257,1153,5,333.0
287,7024,1990,4,474.62
288,9484,105,5,159.6
289,4872,218,3,450.28
290,5233,437,3,481.54
291,9397,245,5,447.45
292,3216,1286,2,268.17
293,2743,345,5,235.12
294,8966,1276,4,480.25
295,6957,679,5,289.64
296,5834,1359,4,450.13
297,9050,1510,5,84.09
298,8981,919,1,57.46
299,6103,1182,2,94.19
300,5465,825,2,292.06
301,2011,1342,5,245.43
302,7041,1147,4,70.06
303,6298,902,2,109.92
304,286,1515,1,282.66
305,1579,499,5,328.56
306,3802,1665,1,121.52
307,6517,108,1,366.61
308,2304,607,2,208.77
309,1569,648,3,327.14
310,2294,83,1,162.73
311,3732,1532,1,282.43
312,9663,959,3,422.21
313,4110,1622,5,473.35
314,3774,1900,5,287.53
315,4775,1559,4,273.54
316,7333,930,4,242.74
317,9920,239,4,155.04
318,456,1326,4,192.69
319,1979,724,5,417.37
320,2471,300,5,157.89
321,2723,384,2,87.55
322,9530,1098,5,442.11
323,862,815,5,435.75
324,9761,1261,3,283.7
325,3214,1452,4,355.54
326,5065,1740,5,160.36
327,4725,1256,1,172.85
328,654,688,1,227.84
329,8830,1368,5,273.13
330,3018,1314,4,166.48
331,7183,494,5,236.9
332,2578,388,4,119.95
333,5514,566,1,301.56
334,3513,318,3,398.15
335,8679,679,1,320.18
336,4932,42,4,478.01
337,7158,456,3,204.67
338,4849,111,2,280.21
339,9429,1825,4,344.73
340,9258,191,2,179.06
341,4701,1987,3,74.38
342,9585,242,1,240.03
343,529,1514,4,268.41
344,6641,1920,4,175.27
345,6322,1466,2,428.82
346,4470,897,4,111.58
347,1767,1174,5,223.57
348,6101,637,4,286.33
349,510,929,3,293.75
350,449,630,5,468.93
351,5128,851,4,72.9
352,4751,1433,2,444.64
353,9086,85,2,96.36
354,5271,1283,4,406.58
355,9379,311,1,65.64
356,5045,250,1,212.26
357,6177,260,3,161.68
358,6956,632,1,195.37
359,8287,116,5,292.87
360,2416,844,5,377.92
361,5239,375,4,290.18
362,2804,331,3,186.06
363,8892,1440,4,125.54
364,8161,944,4,450.87
365,9203,905,4,461.34
366,7508,935,5,125.56
367,6071,1547,3,452.82
368,735,208,2,354.55
369,9702,434,1,128.08
370,1580,1769,3,278.86
371,1037,632,1,177.58
