order_id,customer_id,restaurant_id,order_date,status,total_amount,payment_method
1,971,66,2023-12-15,Cancelled,127.18,Credit Card
2,913,178,2023-07-06,Delivered,752.49,Credit Card
3,781,286,2024-08-18,Delivered,652.3,UPI
4,47,369,2023-12-07,Pending,1925.22,Cash
5,909,494,2023-01-03,Cancelled,1057.77,UPI
6,635,62,2023-08-25,Delivered,411.66,Cash
7,391,211,2024-11-15,Delivered,1580.16,Cash
8,993,80,2023-11-18,Cancelled,235.53,UPI
9,52,499,2024-06-03,Delivered,1662.93,Cash
10,383,438,2024-03-31,Pending,731.56,Cash
11,759,345,2024-09-17,Delivered,931.3,UPI
12,222,420,2024-05-12,Cancelled,1519.06,UPI
13,541,72,2023-12-15,Delivered,1114.3,Credit Card
14,609,340,2023-07-18,Pending,1592.69,Cash
15,999,65,2024-01-07,Pending,1516.67,Cash
16,490,43,2024-06-16,Delivered,1023.44,Credit Card
17,942,93,2023-07-16,Cancelled,1012.94,UPI
18,764,161,2024-02-19,Cancelled,245.12,Cash
19,819,491,2024-04-21,Cancelled,1583.13,UPI
20,485,48,2024-05-15,Delivered,599.3,Cash
21,555,466,2024-08-28,Delivered,512.65,Credit Card
22,507,436,2024-08-18,Delivered,236.19,UPI
23,621,221,2024-07-21,Delivered,1727.23,Cash
24,548,490,2024-12-27,Delivered,1778.42,Cash
25,152,131,2023-02-27,Delivered,994.38,Credit Card
26,877,4,2023-07-12,Cancelled,1471.21,UPI
27,72,225,2024-08-15,Delivered,341.71,Cash
28,596,314,2023-11-14,Cancelled,1521.39,UPI
29,854,15,2023-04-17,Cancelled,1114.79,UPI
30,850,57,2023-04-29,Pending,1193.36,UPI
31,916,63,2024-06-24,Cancelled,1990.28,Credit Card
32,823,148,2023-04-12,Pending,527.27,Cash
33,283,324,2023-01-12,Pending,454.69,Credit Card
34,621,171,2023-11-17,Cancelled,1591.12,Credit Card
35,979,245,2023-03-31,Pending,1762.55,UPI
36,197,193,2024-03-07,Pending,1436.85,UPI
37,890,290,2023-05-16,Cancelled,1231.87,UPI
38,843,462,2023-03-31,Cancelled,1285.05,Cash
39,955,210,2024-08-29,Delivered,368.95,UPI
40,834,218,2023-08-31,Cancelled,1651.08,Credit Card
41,966,9,2024-07-10,Delivered,649.33,Credit Card
42,387,468,2023-09-11,Pending,858.63,UPI
43,427,71,2024-11-10,Pending,610.84,UPI
44,108,384,2023-08-05,Pending,1117.01,UPI
45,581,292,2024-02-05,Pending,1968.95,Cash
46,126,481,2024-05-02,Pending,1000.11,UPI
47,237,150,2023-01-15,Pending,1155.19,Cash
48,594,143,2023-12-04,Delivered,1251.6,UPI
49,724,229,2023-10-25,Pending,1382.92,Cash
50,207,142,2024-05-18,Delivered,1276.25,Cash
51,971,284,2023-08-27,Pending,1490.64,Credit Card
52,898,216,2023-03-07,Delivered,1201.77,Credit Card
53,305,40,2024-11-14,Delivered,1438.82,Credit Card
54,215,360,2023-10-12,Cancelled,887.23,Credit Card
55,790,341,2024-05-01,Pending,1725.85,Credit Card
56,273,290,2023-12-26,Delivered,1833.87,UPI
57,944,397,2023-07-01,Cancelled,1680.1,Credit Card
58,920,126,2024-09-21,Cancelled,1064.12,UPI
59,785,482,2024-09-09,Cancelled,1829.59,Credit Card
60,576,432,2023-08-28,Pending,274.63,Cash
61,512,80,2024-08-02,Pending,1510.14,UPI
62,996,394,2024-01-14,Delivered,161.96,Cash
63,429,335,2023-01-12,Delivered,1472.94,Credit Card
64,547,435,2023-12-31,Cancelled,1410.75,Cash
65,887,283,2024-09-28,Pending,1444.94,UPI
66,24,414,2024-11-27,Delivered,213.73,Credit Card
67,254,327,2024-02-19,Pending,1856.48,Cash
68,809,270,2024-02-16,Pending,307.33,UPI
69,211,496,2023-01-17,Cancelled,138.14,Credit Card
70,711,230,2024-10-12,Pending,1046.3,Credit Card
71,105,304,2023-06-12,Cancelled,1369.05,Credit Card
72,877,378,2023-07-16,Pending,1297.53,Cash
73,792,153,2023-01-04,Cancelled,821.38,Cash
74,471,184,2024-06-20,Pending,152.74,UPI
75,776,173,2023-07-24,Delivered,1509.25,UPI
76,420,383,2023-07-07,Delivered,1880.35,Cash
77,873,40,2024-09-07,Cancelled,1622.51,UPI
