rating_id,customer_id,restaurant_id,order_id,rating,review,rating_date
1,748,196,9469,2,Candidate debate establish officer.,2023-06-14
2,307,237,6766,5,Black million follow field among decide image maintain.,2024-05-09
3,21,216,8460,1,Up lawyer arrive teach high brother.,2024-01-21
4,485,452,9641,1,After baby me lay off sound.,2023-12-15
5,743,474,7131,1,Month sort onto well crime federal.,2024-04-07
6,328,104,3830,3,Reach discuss hair that same forward.,2024-05-07
7,296,347,8793,2,Room there sing suffer rather pull.,2023-01-29
8,348,233,7150,4,Late our information.,2024-09-24
9,813,93,874,5,Sure site believe development inside wish.,2024-11-19
10,917,377,1824,1,Better war significant reveal wish well become.,2024-07-10
11,15,411,6584,4,Cut fly a back risk often gas.,2024-02-15
12,390,230,7370,3,Road but maybe five experience.,2024-01-05
13,436,27,8017,5,Future while listen purpose music hand.,2023-06-08
14,835,256,6052,5,Become store major even whom.,2024-08-23
15,980,483,426,3,Structure end early.,2023-07-19
16,456,357,9448,5,Idea raise above be financial rather.,2024-12-22
17,489,282,4913,5,One our simply compare.,2023-12-12
18,20,85,2654,4,Congress effort girl cause top close send.,2023-12-25
19,521,284,4706,5,You outside home without.,2023-11-26
20,182,159,3133,5,Less board put pull.,2024-06-04
21,779,135,796,4,Line material collection exist spend capital wife.,2023-12-21
22,646,477,7377,2,Product would begin particular.,2023-10-07
23,81,493,8873,2,After pretty total involve hospital.,2023-09-24
24,595,244,9669,3,Camera different from himself.,2024-05-29
25,723,408,5130,3,Floor others factor compare morning test mouth lawyer.,2023-01-13
26,589,140,3100,2,Matter want leave play.,2024-03-28
27,342,221,4602,5,According result health woman large successful training.,2023-04-07
28,464,480,1861,2,Walk do garden pass budget run.,2023-05-06
29,232,329,2317,5,Cost act organization nature.,2023-01-15
30,834,127,5429,3,Loss maintain join.,2024-07-15
31,600,482,4208,5,General page blue establish without college wife.,2024-10-26
32,29,304,7713,2,Analysis war century record.,2023-11-08
33,674,351,1014,1,Contain your TV hour after chance.,2024-01-16
34,818,481,5496,3,Child but early growth show.,2024-06-09
35,369,455,3656,5,Month not computer he anyone ago stop.,2023-06-27
36,566,130,1536,4,Well want herself kid police father provide.,2024-05-09
37,772,19,134,3,Stuff myself also could heart.,2024-08-30
38,445,395,5345,1,Standard offer poor organization fill yard century source.,2023-08-23
39,890,256,3190,1,Sign read growth hear best far night it.,2024-01-07
40,395,495,2045,5,Structure agreement red rather.,2023-09-08
41,272,342,9720,2,Benefit accept development ability wonder indicate value.,2024-03-05
42,822,489,8833,1,Air subject majority line appear hit.,2023-11-20
43,796,253,8557,1,Should force move claim wife.,2023-11-19
44,829,443,8989,1,Final large condition maintain series.,2024-05-28
45,676,26,2915,2,Article pick help course baby themselves popular table.,2023-09-25
46,213,235,6033,3,Development local tell choose history.,2024-12-13
47,605,232,6863,1,Particularly experience say strategy each indeed wind.,2023-05-22
48,323,340,1338,3,Situation home owner central owner around such.,2024-02-23
49,558,173,1596,2,Student moment free agency.,2024-11-16
50,800,225,2344,3,Medical why else minute music.,2024-12-25
51,400,116,3727,5,For give increase lawyer mean itself.,2024-05-17
52,35,174,6584,1,Family operation politics take final stay whole.,2024-11-05
53,29,191,7543,5,Service officer environmental truth throw include message.,2023-09-07
54,409,311,7383,2,Describe treat series few future others human stand.,2023-06-26
55,309,198,3576,1,Front anyone ahead.,2024-08-14
56,193,92,1975,3,Charge service Mrs international suggest interesting interest suffer.,2024-07-02
57,649,250,5640,5,Maintain moment drive one a Democrat cut.,2023-03-21
58,82,394,6966,1,Measure because offer question possible collection.,2024-08-05
59,9,378,4768,4,Discussion Republican water Congress American.,2023-07-28
60,965,500,5246,1,Or guess than church.,2023-11-08
61,443,289,13,4,Participant spend direction car.,2023-11-14
62,919,494,4686,2,Beat sea national.,2023-06-18
63,247,18,6549,3,Ability relate arrive middle.,2023-08-25
64,863,90,2390,4,Themselves parent consumer student.,2024-07-20
65,667,276,6012,4,Eye meet down myself accept hit.,2023-01-15
66,952,186,6181,5,Huge above reduce information country professor.,2024-04-29
67,845,122,8481,5,Image nice wonder group table capital process.,2023-09-28
68,481,26,7191,5,Material cold some kind and foot boy.,2024-05-13
69,942,435,3031,1,Democrat something whom table.,2023-04-19
70,26,148,1833,2,Third paper when attorney particular.,2023-04-11
71,539,412,7055,4,Draw where pull wife feeling answer.,2024-06-04
72,717,354,9749,4,Effect middle movement nearly yes enjoy land rule.,2023-07-23
73,842,173,9003,3,Kitchen for so sea.,2024-06-25
74,495,459,4943,4,Expect game four meet.,2024-09-06
75,2,229,6463,4,Thing necessary those long.,2023-07-19
76,620,276,4422,2,On rather evening.,2023-03-11
77,994,210,2150,4,Office color might throughout study try.,2023-12-27
78,702,220,2881,1,Course exist because tough growth rule term.,2024-07-30
79,37,338,1627,4,Without no example red drug ground.,2023-01-18
80,616,223,4265,4,Term half nice chair friend interest black.,2024-05-05
81,894,463,8716,3,Pay necessary top fund fly.,2023-02-27
82,958,313,2987,5,Simple threat reveal physical.,2023-10-10
83,248,374,4559,5,Likely kitchen federal can serve.,2023-08-14
84,239,383,9318,2,Chair society almost every country statement.,2024-03-28
85,512,150,5508,3,Physical surface them deal case full nothing.,2023-01-13
86,234,471,6035,5,Month determine result country take fish risk computer.,2023-11-19
87,293,266,665,4,At everyone common company support.,2023-01-23
88,563,381,4947,4,Energy fill series.,2023-11-14
89,942,329,7029,1,Politics usually try how Mr happy.,2024-02-14
90,52,10,7205,4,Well remain no major read might.,2023-01-15
91,468,87,5927,1,Option force shake apply brother southern.,2024-08-13
92,575,222,9811,1,Positive line already believe.,2024-03-06
93,69,412,5559,4,Sing in financial medical.,2023-04-10
94,857,475,8934,3,Business political majority help answer discover.,2023-06-09
95,902,177,4315,4,Protect wear nice.,2024-02-10
96,711,420,7672,2,Say help test world line on none sound.,2024-04-26
97,525,187,4222,1,Raise maybe surface camera.,2024-03-06
98,355,490,1668,4,Affect central my everybody eye.,2024-03-14
99,877,209,8099,5,Together professional yes father marriage their.,2023-03-24
100,580,345,6885,5,Meeting east deep bad.,2024-04-06
101,184,240,9065,4,If himself rule at.,2023-01-28
102,75,7,1899,3,Its serious program know individual grow strong.,2024-05-21
103,99,153,1324,2,Main common card stop western order story.,2024-12-14
104,636,183,1137,1,Its risk growth war author add.,2023-09-03
105,685,247,7612,3,Social sort fine important everybody enjoy wait sell.,2024-03-01
106,403,200,5173,5,Environmental keep make win my.,2023-12-20
107,136,159,6235,4,Address thing fill institution nor game short.,2024-10-20
108,249,449,8953,2,Argue consider special past arrive.,2023-01-13
109,909,479,714,3,Give church born travel.,2024-06-24
110,828,227,9620,4,Only between foreign building smile medical.,2024-11-14
111,296,27,3464,5,Food finish heart stage beautiful become attorney to.,2024-10-07
112,189,102,9492,4,Guy animal reflect chance.,2024-09-14
113,771,184,811,1,Finally together especially phone box degree until realize.,2023-12-31
114,421,243,8266,3,Fund growth none give staff building believe.,2024-01-30
115,417,264,720,3,Single course ball.,2023-02-21
116,80,300,7881,4,Something would commercial land.,2024-04-27
117,461,46,4297,3,Perform allow community least take paper.,2023-12-21
