restaurant_id,name,cuisine,location,rating,opening_date
1,Moore-Gutierrez,Indian,"9348 Mary Crescent, South Ericmouth, WY 87639",3.4,2010-03-06
2,Russell-Baldwin,Continental,"18723 Kyle Vista Suite 143, Nguyenhaven, NH 37603",3.1,2022-04-19
3,Calhoun-Miller,Chinese,"71852 White Cliffs, New Christopher, SC 35782",1.0,2015-03-10
4,"Bray, Graves and Peterson",Italian,"8808 Kara Drives, Port Patriciamouth, AL 13467",4.4,2019-01-12
5,Bell-Cherry,Continental,"385 Mcgee Loaf Apt. 685, New Todd, TN 27781",2.0,2023-04-30
6,"Tucker, Brown and Ortega",Indian,"8663 Alexander Spring Apt. 545, Brownview, IA 15135",4.3,2024-07-21
7,Martinez-Briggs,Mexican,"05613 Ryan Curve, New Jenniferchester, OR 83706",2.5,2021-08-23
8,Davis-Walker,Mexican,"379 Ortega Rest Apt. 179, Timothyview, VA 89651",3.3,2014-12-11
9,Gill-Hood,Chinese,"485 Alexandra Brook, Sabrinamouth, NE 81138",2.4,2020-02-29
10,"Taylor, Bryant and Jordan",Mexican,"94989 Stone Bypass, Kimberlyshire, VT 45818",2.3,2020-11-23
11,Smith Inc,Mexican,"7162 Greer Cliff Suite 487, South Barbaraburgh, NE 57198",2.1,2010-08-03
12,Pierce and Sons,Italian,"297 Todd Light Suite 774, Elizabethtown, WV 84880",3.7,2021-09-21
13,Rose-Curtis,Mexican,"0575 Marquez Fork Apt. 549, Colestad, NV 63899",3.8,2019-10-05
14,Knight LLC,Indian,"48024 Floyd Dale, Erikamouth, WA 07788",2.2,2012-01-16
15,Parks-Beck,Italian,"779 Ware Isle Suite 750, Amandahaven, NJ 31657",4.7,2012-08-01
16,Barr PLC,Mexican,"Unit 0581 Box 3654, DPO AP 98694",4.2,2010-11-13
17,Brown Ltd,Italian,"828 Reid Views Suite 397, Rileytown, SD 53831",1.5,2019-10-04
18,Waters-Hutchinson,Chinese,"927 Adam Forge, North Roymouth, MA 90755",1.8,2016-05-30
19,"Hubbard, Mejia and Lawrence",Continental,"5690 Mendoza Oval Suite 914, Hernandezfort, KY 56070",4.0,2020-12-24
20,Willis-Holmes,Indian,"27979 Greer Road Suite 856, South Bruce, WV 22903",5.0,2014-02-28
21,"Garcia, Vega and Johnson",Continental,"36895 Lauren Prairie, South Christineside, OH 99715",1.0,2015-04-16
22,"Finley, Smith and Rivas",Indian,"2678 Cheryl Ferry Apt. 749, South Pedroville, NH 59686",2.4,2016-08-02
